               state	                soln	                  pH	                  pe	                C(4)	                  Ca	                  Mg	                  Cl	             Calcite	           d_Calcite	       Dolomite(dis)	     d_Dolomite(dis)	
              i_soln	                  12	  9.794704764509e+00	  8.443330484376e+00	  1.218283005519e-04	  1.432719660852e-04	  7.128576419893e-04	  1.468602614776e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  12	  9.794175302312e+00	  8.440127304431e+00	  1.216224223438e-04	  1.431690268360e-04	  7.127547017359e-04	  1.468602612187e-03	  0.000000000000e+00	  0.000000000000e+00	  1.054491907137e-04	  1.029389968263e-07	
              i_soln	                  13	  9.810631671595e+00	  8.239214199539e+00	  1.199816375319e-04	  1.764216693531e-04	  5.249894325576e-04	  1.162858928337e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  13	  9.805026858618e+00	  8.212824408445e+00	  1.175900746560e-04	  1.917319472177e-04	  5.072875779167e-04	  1.162858900536e-03	  1.165250338698e-04	 -3.301212496153e-05	  4.517284276264e-05	  1.770184251305e-05	
              i_soln	                  14	  9.800642466014e+00	  8.280205029633e+00	  1.191031254375e-04	  1.719244889693e-04	  5.865859522685e-04	  1.278814631238e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  14	  9.799043527616e+00	  8.268429131352e+00	  1.184968692362e-04	  1.716213602802e-04	  5.862828214081e-04	  1.278814624542e-03	  0.000000000000e+00	  0.000000000000e+00	  1.075352021728e-04	  3.031277904428e-07	
              i_soln	                  15	  9.830293334139e+00	  8.243806556398e+00	  1.224158254111e-04	  1.702619961419e-04	  4.324758664888e-04	  9.606440739180e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  15	  9.831707706906e+00	  8.254244190535e+00	  1.229691859081e-04	  1.708153568636e-04	  4.324758685194e-04	  9.606440784286e-04	  2.046219040404e-04	 -5.533599196305e-07	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  16	  9.818580620161e+00	  8.222338767847e+00	  1.208692728145e-04	  1.759762057425e-04	  4.836957595274e-04	  1.077605384448e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  16	  9.818274774927e+00	  8.172353773917e+00	  1.206692346507e-04	  1.809020251935e-04	  4.785699004323e-04	  1.077605381487e-03	  1.880759615062e-04	 -1.005167772831e-05	  7.859269103183e-06	  5.125857780321e-06	
              i_soln	                  17	  9.847811905844e+00	 -4.747197416015e+00	  1.240081275874e-04	  1.596582907382e-04	  3.473666353892e-04	  7.660335964619e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  17	  9.847990546743e+00	 -4.760396603724e+00	  1.240789793007e-04	  1.597291424731e-04	  3.473666355985e-04	  7.660335969235e-04	  2.065860314928e-04	 -7.085163841573e-08	  0.000000000000e+00	  0.000000000000e+00	
