               state	                soln	                  pH	                  pe	          Synthetica	          Syntheticb	          k_Productd	         dk_Productd	
              i_soln	                  19	  7.001964432144e+00	  1.127081947966e+01	  4.415859468470e-01	  4.415859468470e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  19	  7.002111749321e+00	  1.127842623247e+01	  4.373761796979e-01	  4.373761796979e-01	  8.588665167423e-01	  4.209767148637e-03	
              i_soln	                  20	  7.001846410663e+00	  1.126905165142e+01	  4.448724671790e-01	  4.448724671790e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  20	  7.001993577735e+00	  1.126184373638e+01	  4.406326909718e-01	  4.406326909718e-01	  8.690989128193e-01	  4.239776206750e-03	
              i_soln	                  21	  7.002169432948e+00	  1.106932528042e+01	  4.359400906736e-01	  4.359400906736e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  21	  7.002317000576e+00	  1.108112875980e+01	  4.317819192942e-01	  4.317819192942e-01	  8.413838755338e-01	  4.158171378941e-03	
              i_soln	                  22	  7.002050985664e+00	  1.125050952560e+01	  4.391925237759e-01	  4.391925237759e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  22	  7.002198410069e+00	  1.125210971389e+01	  4.350046226416e-01	  4.350046226416e-01	  8.514401844657e-01	  4.187901133805e-03	
              i_soln	                  23	  7.002375155052e+00	  1.131426954484e+01	  4.303530804706e-01	  4.303530804706e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  23	  7.002522961405e+00	  1.131394041628e+01	  4.262460215796e-01	  4.262460215796e-01	  8.242031063276e-01	  4.107058890514e-03	
              i_soln	                  24	  7.002256293834e+00	 -2.204296313336e+00	  4.335715689784e-01	  4.335715689784e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  24	  7.002403963821e+00	 -2.215230553303e+00	  4.294350592791e-01	  4.294350592791e-01	  8.340856297867e-01	  4.136509698828e-03	
              i_soln	                  25	  7.002581577841e+00	  1.129876390054e+01	  4.248246620839e-01	  4.248246620839e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  25	  7.002729611303e+00	  1.129919343274e+01	  4.207682331007e-01	  4.207682331007e-01	  8.073201660660e-01	  4.056428982824e-03	
              i_soln	                  26	  7.002462314600e+00	  1.124113020044e+01	  4.280093538319e-01	  4.280093538319e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  26	  7.002610218360e+00	  1.124109446092e+01	  4.239237525696e-01	  4.239237525696e-01	  8.170312481891e-01	  4.085601261844e-03	
              i_soln	                  27	  7.002788680686e+00	  1.125811272398e+01	  4.193545725685e-01	  4.193545725685e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  27	  7.002936929398e+00	  1.125993555072e+01	  4.153482917159e-01	  4.153482917159e-01	  7.907309517028e-01	  4.006280852137e-03	
              i_soln	                  28	  7.002669027332e+00	  1.126075069521e+01	  4.225056204337e-01	  4.225056204337e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  28	  7.002817153172e+00	  1.125800717520e+01	  4.184704453548e-01	  4.184704453548e-01	  8.002729553807e-01	  4.035175078440e-03	
