               state	                soln	                  pH	                  pe	                  Ca	                  Cl	                   K	                N(5)	                  Na	
               react	                  53	  6.994915319585e+00	  1.264480464565e+01	  5.999960439791e-04	  1.199999897844e-03	  7.171886777884e-09	  1.031526728881e-10	  7.421554336059e-10	
              i_soln	                  54	  6.994915315423e+00	  1.264478654646e+01	  5.999969731318e-04	  1.199999919153e-03	  5.478316427546e-09	  8.184374908362e-11	  5.774203251604e-10	
              i_exch	                 134	  6.994915316806e+00	  1.264478654646e+01	  5.999967789846e-04	  1.199999914080e-03	  5.829915856446e-09	  8.691631663426e-11	  6.141154114204e-10	
               react	                  54	  6.994915315469e+00	  1.264478653149e+01	  5.999969583529e-04	  1.199999919153e-03	  5.507229854769e-09	  8.184374908201e-11	  5.780648379729e-10	
              i_soln	                  55	  6.994915330003e+00	  1.264482696297e+01	  5.999937856738e-04	  1.199999847145e-03	  1.128792089253e-08	  1.538506609412e-10	  1.142732132607e-09	
              i_exch	                 135	  6.994915331979e+00	  1.264482696297e+01	  5.999933878679e-04	  1.199999837641e-03	  1.201119267360e-08	  1.633540839298e-10	  1.215072068166e-09	
               react	                  55	  6.994915330101e+00	  1.264482697110e+01	  5.999937552996e-04	  1.199999847145e-03	  1.134739869721e-08	  1.538506609381e-10	  1.144002717943e-09	
              i_soln	                  56	  6.994915323431e+00	  1.264481602858e+01	  5.999952091292e-04	  1.199999878549e-03	  8.690938305742e-09	  1.224468667718e-10	  8.928039258730e-10	
              i_exch	                 136	  6.994915325121e+00	  1.264481602858e+01	  5.999949022535e-04	  1.199999870973e-03	  9.248090750981e-09	  1.300229958450e-10	  9.494027864168e-10	
               react	                  56	  6.994915323507e+00	  1.264481603994e+01	  5.999951857236e-04	  1.199999878549e-03	  8.736755296181e-09	  1.224468667694e-10	  8.937980313820e-10	
              i_soln	                  57	  6.994915346133e+00	  1.264483741778e+01	  5.999902408126e-04	  1.199999772902e-03	  1.776895686855e-08	  2.280912386400e-10	  1.751418626509e-09	
              i_exch	                 137	  6.994915349215e+00	  1.264483741778e+01	  5.999896165673e-04	  1.199999758867e-03	  1.890685582007e-08	  2.421254136274e-10	  1.862010336731e-09	
               react	                  57	  6.994915346286e+00	  1.264483742636e+01	  5.999901930539e-04	  1.199999772902e-03	  1.786253175873e-08	  2.280912386355e-10	  1.753361079913e-09	
              i_soln	                  58	  6.994915336085e+00	  1.264483330480e+01	  5.999924544174e-04	  1.199999818836e-03	  1.372036863531e-08	  1.821579850681e-10	  1.372797248252e-09	
              i_exch	                 138	  6.994915338435e+00	  1.264483330480e+01	  5.999919715726e-04	  1.199999807602e-03	  1.459925095571e-08	  1.933918362442e-10	  1.459604523944e-09	
               react	                  58	  6.994915336203e+00	  1.264483330832e+01	  5.999924175178e-04	  1.199999818836e-03	  1.379264311455e-08	  1.821579850646e-10	  1.374321942342e-09	
              i_soln	                  59	  6.994915370762e+00	  1.264483814610e+01	  5.999847610692e-04	  1.199999665036e-03	  2.781199621762e-08	  3.359541315687e-10	  2.667866236296e-09	
              i_exch	                 139	  6.994915375634e+00	  1.264483814610e+01	  5.999837866332e-04	  1.199999644462e-03	  2.959282024464e-08	  3.565270540741e-10	  2.835914133467e-09	
               react	                  59	  6.994915371001e+00	  1.264483815337e+01	  5.999846863699e-04	  1.199999665036e-03	  2.795844307797e-08	  3.359541315620e-10	  2.670817885215e-09	
              i_soln	                  60	  6.994915355426e+00	  1.264483942077e+01	  5.999881793862e-04	  1.199999731691e-03	  2.154479709927e-08	  2.693007918939e-10	  2.098431315998e-09	
              i_exch	                 140	  6.994915359184e+00	  1.264483942077e+01	  5.999874234194e-04	  1.199999715154e-03	  2.292437055996e-08	  2.858373635020e-10	  2.230791384368e-09	
               react	                  60	  6.994915355611e+00	  1.264483942426e+01	  5.999881214991e-04	  1.199999731691e-03	  2.165824638093e-08	  2.693007918885e-10	  2.100756120111e-09	
              i_soln	                  61	  6.994915408659e+00	  1.264482914767e+01	  5.999763604826e-04	  1.199999509648e-03	  4.324465776919e-08	  4.913369452047e-10	  4.036377882550e-09	
              i_exch	                 141	  6.994915415718e+00	  1.264482914767e+01	  5.999748486656e-04	  1.199999479717e-03	  4.601462327291e-08	  5.212664025882e-10	  4.290046475238e-09	
               react	                  61	  6.994915409032e+00	  1.264482915011e+01	  5.999762443588e-04	  1.199999509648e-03	  4.347244987829e-08	  4.913369451949e-10	  4.040833458119e-09	
              i_soln	                  62	  6.994915385029e+00	  1.264483593321e+01	  5.999815942035e-04	  1.199999605539e-03	  3.362645635999e-08	  3.954485395389e-10	  3.187137453778e-09	
              i_exch	                 142	  6.994915390783e+00	  1.264483593320e+01	  5.999804172381e-04	  1.199999581377e-03	  3.577983471278e-08	  4.196100749721e-10	  3.387689870341e-09	
               react	                  62	  6.994915385319e+00	  1.264483594342e+01	  5.999815038998e-04	  1.199999605539e-03	  3.380354120000e-08	  3.954485395310e-10	  3.190660039645e-09	
              i_soln	                  63	  6.994915464691e+00	  1.264481209069e+01	  5.999636154606e-04	  1.199999287939e-03	  6.671119399978e-08	  7.130382506818e-10	  6.059885850754e-09	
              i_exch	                 143	  6.994915474978e+00	  1.264481209069e+01	  5.999612871371e-04	  1.199999244746e-03	  7.098779385595e-08	  7.562295185176e-10	  6.439933038986e-09	
               react	                  63	  6.994915465267e+00	  1.264481210029e+01	  5.999634362735e-04	  1.199999287939e-03	  6.706289281437e-08	  7.130382506675e-10	  6.066561338295e-09	
              i_soln	                  64	  6.994915430006e+00	  1.264482345732e+01	  5.999715430930e-04	  1.199999424547e-03	  5.210968650157e-08	  5.764348518299e-10	  4.806128495577e-09	
              i_exch	                 144	  6.994915438277e+00	  1.264482345732e+01	  5.999697227706e-04	  1.199999389517e-03	  5.544856726727e-08	  6.114633106429e-10	  5.107892563564e-09	
               react	                  64	  6.994915430455e+00	  1.264482344641e+01	  5.999714031530e-04	  1.199999424547e-03	  5.238426608327e-08	  5.764348518184e-10	  4.811428885208e-09	
              i_soln	                  65	  6.994915547041e+00	  1.264478732009e+01	  5.999445358562e-04	  1.199998975175e-03	  1.019150127842e-07	  1.025791958486e-09	  9.015276120912e-09	
              i_exch	                 145	  6.994915562394e+00	  1.264478732009e+01	  5.999409828770e-04	  1.199998913394e-03	  1.084566092894e-07	  1.087571496364e-09	  9.579638106298e-09	
               react	                  65	  6.994915547921e+00	  1.264478731190e+01	  5.999442619085e-04	  1.199998975175e-03	  1.024529950651e-07	  1.025791958465e-09	  9.025189363613e-09	
              i_soln	                  66	  6.994915496052e+00	  1.264480295958e+01	  5.999563788933e-04	  1.199999167530e-03	  8.005649095597e-08	  8.334431245235e-10	  7.187723557786e-09	
              i_exch	                 146	  6.994915508235e+00	  1.264480295958e+01	  5.999535863061e-04	  1.199999117170e-03	  8.519125541407e-08	  8.838023223915e-10	  7.638133637787e-09	
               react	                  66	  6.994915496741e+00	  1.264480295052e+01	  5.999561637991e-04	  1.199999167530e-03	  8.047876787056e-08	  8.334431245066e-10	  7.195635048346e-09	
              i_soln	                  67	  6.994915665741e+00	  1.264475535700e+01	  5.999164717057e-04	  1.199998540208e-03	  1.537954229760e-07	  1.460746210997e-09	  1.326316742897e-08	
              i_exch	                 147	  6.994915688850e+00	  1.264475535700e+01	  5.999111134427e-04	  1.199998452732e-03	  1.636829634757e-07	  1.548218928954e-09	  1.409215294343e-08	
               react	                  67	  6.994915667069e+00	  1.264475534395e+01	  5.999160578315e-04	  1.199998540208e-03	  1.546086092529e-07	  1.460746210967e-09	  1.327772950760e-08	
              i_soln	                  68	  6.994915592509e+00	  1.264477529181e+01	  5.999338427575e-04	  1.199998807085e-03	  1.216733000697e-07	  1.193877313916e-09	  1.064318639986e-08	
              i_exch	                 148	  6.994915610788e+00	  1.264477529181e+01	  5.999296023081e-04	  1.199998735358e-03	  1.294883980412e-07	  1.265601389531e-09	  1.130898735058e-08	
               react	                  68	  6.994915593560e+00	  1.264477530859e+01	  5.999335155473e-04	  1.199998807085e-03	  1.223160252753e-07	  1.193877313892e-09	  1.065488164749e-08	
              i_soln	                  69	  6.994915834975e+00	  1.264471686034e+01	  5.998761680126e-04	  1.199997946756e-03	  2.284285737390e-07	  2.054178516510e-09	  1.923740349732e-08	
              i_exch	                 149	  6.994915868272e+00	  1.264471686034e+01	  5.998682111385e-04	  1.199997824423e-03	  2.431414858733e-07	  2.176507804104e-09	  2.043823960085e-08	
               react	                  69	  6.994915836952e+00	  1.264471684330e+01	  5.998755524088e-04	  1.199997946756e-03	  2.296386858354e-07	  2.054178516466e-09	  1.925849884525e-08	
              i_soln	                  70	  6.994915730710e+00	  1.264474024190e+01	  5.999010178043e-04	  1.199998309683e-03	  1.824004123434e-07	  1.691263223480e-09	  1.556598095982e-08	
              i_exch	                 150	  6.994915757842e+00	  1.264474024190e+01	  5.998946637294e-04	  1.199998208648e-03	  1.941362145425e-07	  1.792295567119e-09	  1.653832867956e-08	
               react	                  70	  6.994915732287e+00	  1.264474022073e+01	  5.999005266563e-04	  1.199998309683e-03	  1.833656276663e-07	  1.691263223444e-09	  1.558306175941e-08	
              i_soln	                  71	  6.994916067517e+00	  1.264467051952e+01	  5.998202160646e-04	  1.199997159168e-03	  3.321882996674e-07	  2.841741538488e-09	  2.738157417769e-08	
              i_exch	                 151	  6.994916115578e+00	  1.264467051952e+01	  5.998086434947e-04	  1.199996990807e-03	  3.536259992140e-07	  3.010097731475e-09	  2.908901466752e-08	
               react	                  71	  6.994916070396e+00	  1.264467051948e+01	  5.998193193877e-04	  1.199997159168e-03	  3.339516561366e-07	  2.841741538425e-09	  2.741157170161e-08	
              i_soln	                  72	  6.994915925224e+00	  1.264469813799e+01	  5.998545172517e-04	  1.199997638477e-03	  2.685641171834e-07	  2.362448251926e-09	  2.240338215815e-08	
              i_exch	                 152	  6.994915964126e+00	  1.264469813798e+01	  5.998451620879e-04	  1.199997498104e-03	  2.858766412571e-07	  2.502816910583e-09	  2.380118572034e-08	
               react	                  72	  6.994915927549e+00	  1.264469811962e+01	  5.998537929884e-04	  1.199997638477e-03	  2.699880873312e-07	  2.362448251875e-09	  2.242793848261e-08	
              i_soln	                  73	  6.994916371183e+00	  1.264461499896e+01	  5.997464162447e-04	  1.199996158483e-03	  4.692057221539e-07	  3.842395359001e-09	  3.796379251759e-08	
              i_exch	                 153	  6.994916438641e+00	  1.264461499896e+01	  5.997300649402e-04	  1.199995931886e-03	  4.995428987685e-07	  4.068984954561e-09	  4.032922510655e-08	
               react	                  73	  6.994916375256e+00	  1.264461499162e+01	  5.997451476399e-04	  1.199996158483e-03	  4.717013695583e-07	  3.842395358912e-09	  3.800535477309e-08	
              i_soln	                  74	  6.994916187011e+00	  1.264464835316e+01	  5.997912504871e-04	  1.199996762605e-03	  3.859500556873e-07	  3.238292170670e-09	  3.155097356740e-08	
              i_exch	                 154	  6.994916242723e+00	  1.264464835316e+01	  5.997778033097e-04	  1.199996571140e-03	  4.108776949429e-07	  3.429751194070e-09	  3.351768939198e-08	
               react	                  74	  6.994916190359e+00	  1.264464835210e+01	  5.997902079567e-04	  1.199996762605e-03	  3.880005623854e-07	  3.238292170597e-09	  3.158552774429e-08	
              i_soln	                  75	  6.994916736929e+00	  1.264454880482e+01	  5.996570759381e-04	  1.199994981150e-03	  6.352203627008e-07	  5.019691191887e-09	  5.062976632989e-08	
              i_exch	                 155	  6.994916827570e+00	  1.264454880482e+01	  5.996349301206e-04	  1.199994686261e-03	  6.763592093490e-07	  5.314570637522e-09	  5.378255494272e-08	
               react	                  75	  6.994916742452e+00	  1.264454879338e+01	  5.996553559022e-04	  1.199994981150e-03	  6.386050303252e-07	  5.019691191766e-09	  5.068517049325e-08	
              i_soln	                  76	  6.994916518531e+00	  1.264458827689e+01	  5.997104642827e-04	  1.199995681144e-03	  5.359974996152e-07	  4.319719788133e-09	  4.307593963086e-08	
              i_exch	                 156	  6.994916595349e+00	  1.264458827689e+01	  5.996917821874e-04	  1.199995426834e-03	  5.706784506668e-07	  4.574020802313e-09	  4.575917938457e-08	
               react	                  76	  6.994916523187e+00	  1.264458829338e+01	  5.997090141433e-04	  1.199995681144e-03	  5.388506294744e-07	  4.319719788032e-09	  4.312308855135e-08	
              i_soln	                  77	  6.994917107463e+00	  1.264447563474e+01	  5.995662197296e-04	  1.199993806010e-03	  8.041467960374e-07	  6.194794042224e-09	  6.341575104771e-08	
              i_exch	                 157	  6.994917221683e+00	  1.264447563474e+01	  5.995381744768e-04	  1.199993443103e-03	  8.562898094643e-07	  6.557689221219e-09	  6.736324355258e-08	
               react	                  77	  6.994917114463e+00	  1.264447562296e+01	  5.995640397459e-04	  1.199993806010e-03	  8.084373843482e-07	  6.194794042068e-09	  6.348513018981e-08	
              i_soln	                  78	  6.994916894733e+00	  1.264451821478e+01	  5.996184257266e-04	  1.199994478709e-03	  7.070707501281e-07	  5.522115824018e-09	  5.607980237324e-08	
              i_exch	                 158	  6.994916995397e+00	  1.264451821478e+01	  5.995937710582e-04	  1.199994154722e-03	  7.528885430615e-07	  5.846092988420e-09	  5.957134650372e-08	
               react	                  78	  6.994916900885e+00	  1.264451820616e+01	  5.996165101292e-04	  1.199994478709e-03	  7.108405842752e-07	  5.522115823883e-09	  5.614116311895e-08	
              i_soln	                  79	  6.994917318599e+00	  1.264442924448e+01	  5.995144545075e-04	  1.199993142054e-03	  9.004164318295e-07	  6.858729002617e-09	  7.067656025888e-08	
              i_exch	                 159	  6.994917446061e+00	  1.264442924448e+01	  5.994830463164e-04	  1.199992740754e-03	  9.588340565002e-07	  7.260015858077e-09	  7.507531818306e-08	
               react	                  79	  6.994917326441e+00	  1.264442923904e+01	  5.995120122228e-04	  1.199993142054e-03	  9.052236848503e-07	  6.858729002441e-09	  7.075387670954e-08	
              i_soln	                  80	  6.994917221038e+00	  1.264445023255e+01	  5.995383607254e-04	  1.199993447854e-03	  8.559536153093e-07	  6.552938464022e-09	  6.732694053528e-08	
              i_exch	                 160	  6.994917342439e+00	  1.264445023255e+01	  5.995085058646e-04	  1.199993064232e-03	  9.114727574857e-07	  6.936548712304e-09	  7.151752045522e-08	
               react	                  80	  6.994917228491e+00	  1.264445023017e+01	  5.995360396100e-04	  1.199993447854e-03	  8.605221916438e-07	  6.552938463855e-09	  6.740059518388e-08	
